log2FoldChange padj pval genes gene_type
124 -0.762561787558317 0.00019281094943847 1.87840807498439e-06 PPIA downregulated
125 -0.755472129911519 0.00019425389575778 1.9015204451188e-06 ARF4 downregulated
126 -1.28613402521874 0.000194704914181011 1.93856143157484e-06 LOC100289495 downregulated
127 -0.460645163232841 0.000194704914181011 1.93178751747783e-06 EIF3D downregulated
128 -0.668635859317826 0.000197533687794599 1.98887225859476e-06 CHCHD2 downregulated
129 -0.685798601386502 0.000199371304866978 2.02867653957716e-06 ILF2 downregulated
130 -0.754797868916849 0.000206273340514096 2.12494328315924e-06 PSMB3 downregulated
131 -0.549083159003425 0.000210514809508024 2.21770134474495e-06 SYAP1 downregulated
132 -0.914633110773764 0.000210514809508024 2.21304591820273e-06 ATP5B downregulated
133 -1.12090940982432 0.000210514809508024 2.20243674418819e-06 ATP6V1E1 downregulated
134 -0.543221536800317 0.00021231472844943 2.24655961208319e-06 CHMP2A downregulated
135 -0.70150716451812 0.000212467238807191 2.2778849077357e-06 MRPS28 downregulated
136 -0.617627015060801 0.000221998597032676 2.39041979744316e-06 MRPL30 downregulated
137 -0.503896649463721 0.000228352802276862 2.48012878993655e-06 CAPZB downregulated
138 -0.61786820924866 0.000232299252307852 2.65786203577208e-06 YTHDF2 downregulated
139 -1.09491094291758 0.000232299252307852 2.64147921695426e-06 TSNAX downregulated
140 -0.589219833974045 0.000232299252307852 2.54883803809701e-06 IMMT downregulated
141 -0.727526048336937 0.000232299252307852 2.60527533506179e-06 FEZ2 downregulated
142 -0.972506516525273 0.000232299252307852 2.65159250800414e-06 UBLCP1 downregulated
143 -0.954118187756287 0.000232299252307852 2.58678738425418e-06 POLR2G downregulated
144 -0.487772745450515 0.000232299252307852 2.56707386637939e-06 CWC15 downregulated
145 -0.542529462535082 0.000232299252307852 2.67458701906677e-06 RAB5C downregulated
146 -0.787128468591879 0.000232299252307852 2.67398506569862e-06 CAPNS1 downregulated
147 -0.717862467708525 0.000232299252307852 2.65796881103599e-06 PSMC4 downregulated
148 -0.559452547422102 0.000235810254633242 2.74020498454542e-06 RBBP7 downregulated
149 -0.768248532480594 0.000236660232671439 2.76892361909901e-06 COPG1 downregulated
150 -0.628344596082262 0.000236858226665038 2.85041715874534e-06 C1orf74 downregulated
151 -0.810909137437266 0.000236858226665038 2.83466578656225e-06 MCM4 downregulated
152 -0.707142076682138 0.000236858226665038 2.8464333546198e-06 TM2D2 downregulated
153 -0.778044725333225 0.000236858226665038 2.8367896236803e-06 NUDT2 downregulated
154 -0.807285565834177 0.000236858226665038 2.87060732451918e-06 PRKAR1A downregulated
155 -0.596313112894077 0.000236858226665038 2.86664607771895e-06 COPE downregulated
156 -0.432268989136576 0.000241484635950201 2.94919007220215e-06 PRKDC downregulated
157 -0.902409159931312 0.000269017671459397 3.32814702604301e-06 BZW1 downregulated
158 -0.468885421129196 0.000270952340505368 3.4107841637991e-06 PEX19 downregulated
159 -0.970499092535393 0.000270952340505368 3.39351534785726e-06 TATDN3 downregulated
160 -0.632920700522778 0.000270952340505368 3.3884896033939e-06 PSMB1 downregulated
161 -1.63731023432626 0.000270952340505368 3.42274200703653e-06 TUBA1A downregulated
162 -0.710796461559935 0.000276970680506327 3.52458843883033e-06 LOC101930085 downregulated
163 -0.772359305490923 0.000277133556138536 3.53957928410754e-06 SNRPB downregulated
164 -0.978518206857446 0.000279018832450227 3.57666428582541e-06 CYP51A1 downregulated
165 -0.813208297944673 0.000281277291555499 3.61872616740399e-06 PSMA6 downregulated
166 -0.551960217346149 0.000282609537031424 3.64903937713628e-06 EDF1 downregulated
167 -0.880946379085945 0.000283107025270733 3.66865953597463e-06 GAS7 downregulated
168 -1.68891531224659 0.000286691821104415 3.73797757152876e-06 PPEF1 downregulated
169 -0.755000639466704 0.000289480735032776 3.80636962108555e-06 TKFC downregulated
170 -1.18868887075893 0.000292420725326078 3.8887615316527e-06 LOC102724532 downregulated
171 -0.540285087192071 0.00029336560889167 3.92466926545981e-06 HSPA9 downregulated
172 -0.918771665924292 0.000293905143482128 3.94558715903849e-06 ERLEC1 downregulated
173 -0.513138835683367 0.000298108186116499 4.02455198317485e-06 CCNYL1 downregulated
174 -0.73843011597091 0.000298108186116499 4.02980347614715e-06 POMP downregulated
175 -0.682003284184139 0.000301166531456416 4.15116445775198e-06 TMEM50A downregulated
176 -0.849825602441543 0.000301166531456416 4.15895989498867e-06 PDHB downregulated
177 -0.794310588346754 0.000301166531456416 4.18345342721354e-06 USP5 downregulated
178 -0.747888824779464 0.000301166531456416 4.10048030298195e-06 MPV17L2 downregulated
179 -0.741566848254789 0.000314612741019894 4.45822371090512e-06 MRPS18B downregulated
180 -0.545344848943994 0.000314827321677604 4.47593964068751e-06 TNFRSF21 downregulated
181 -0.713088571535428 0.000316050487169469 4.50806176636636e-06 RAB5A downregulated
182 -0.790242754909026 0.000317248682126607 4.54569499689727e-06 PLEKHB2 downregulated
183 -0.586465470040902 0.00032477184594611 4.69301599978065e-06 CNPY2 downregulated
184 -1.31288910640103 0.000328733139705971 4.76558087207183e-06 SERPINB8 downregulated
185 -0.677275965280133 0.000339732302319983 4.96049262449785e-06 APEX1 downregulated
186 -0.626658622113138 0.000340045580044177 4.99297803169327e-06 GBA downregulated
187 -0.639376078770244 0.00034264574169616 5.05171202996819e-06 CFL1 downregulated
188 -0.432315872892953 0.00034264574169616 5.07907266393413e-06 VPS39 downregulated
189 -0.916808044742675 0.000346766665094448 5.15632154780818e-06 MBTPS2 downregulated
190 -0.662199936867834 0.00035368494020525 5.32514033870767e-06 SNX17 downregulated
191 -0.953902176044302 0.00035368494020525 5.31180087212777e-06 SRP54 downregulated
192 -0.94618615566395 0.000356299253123939 5.39771860650166e-06 MTMR6 downregulated
193 -0.602517484626541 0.000357109341614074 5.42663708414618e-06 PDCD6 downregulated
194 -0.864532064894842 0.000366145072965667 5.664938948087e-06 MAGEH1 downregulated
195 -0.4583123096902 0.000366145072965667 5.59973941423329e-06 COX8A downregulated
196 -1.10527227465465 0.000366916374910185 5.6953877240988e-06 ABCE1 downregulated
197 -0.582099337555599 0.000370153806919704 5.76289430434816e-06 PSMD7 downregulated
