ID	adj.P.Val	P.Value	t	B	logFC	FC	Gene.symbol	Gene.title
10025905215	2,5E-05	1,05E-05	4,5059423	2,4263216	0,0442	1,03111125125857	ZNF770	zinc finger protein 770
10025904247	4,81E-12	1,04E-12	7,5435853	18,1193428	0,0439	1,03089685999305	ZKSCAN5	zinc finger with KRAB and SCAN domains 5
10025905447	0,000525	0,000257	3,7124857	-0,6090503	0,0439	1,03089685999305	ZNF271	zinc finger protein 271
10023815408	2,52E-06	9,45E-07	5,0386083	4,7384867	0,0436	1,03068251330431	ZNF260	zinc finger protein 260
10025911683	7,89E-12	1,74E-12	7,4596756	17,6137138	0,0434	1,03053964027211	ZNF585A	zinc finger protein 585A
10023835766	2,4E-05	1E-05	4,5159153	2,4676481	0,0433	1,03046821118307	ZFYVE21	zinc finger, FYVE domain containing 21
10023824251	0,000557	0,000274	3,6957556	-0,6675248	0,043	1,03025395362007	ZNF771	zinc finger protein 771
10023819891	3,74E-05	1,6E-05	4,408157	2,0251874	0,0429	1,03018254433264	ZNF516	zinc finger protein 516
10025912394	2,86E-08	8,88E-09	5,9695352	9,2623185	0,0428	1,03011113999475	ZNF598	zinc finger protein 598
10023819328	2,51E-06	9,42E-07	5,0392518	4,7414066	0,0427	1,03003974060605	ZCCHC11	zinc finger, CCHC domain containing 11
10023809014	4,69E-10	1,23E-10	6,7429734	13,4415397	0,0426	1,02996834616622	ZNF324	zinc finger protein 324
10023824373	0,000305	0,000145	3,8637313	-0,0698378	0,0425	1,0298969566749	ZNF800	zinc finger protein 800
10025902382	1,1E-11	2,45E-12	7,4036462	17,2780094	0,0423	1,02975419253643	ZNF367	zinc finger protein 367
10025902385	2,6E-05	1,09E-05	4,4965964	2,3876638	0,0418	1,02939736876523	ZNF22	zinc finger protein 22 (KOX 15)
10023823619	4,71E-05	2,04E-05	4,3506481	1,7927449	0,0413	1,02904066863831	ZFAND6	zinc finger, AN1-type domain 6
10025910355	0,000205	9,53E-05	3,9717481	0,3268191	0,041	1,02882670789358	ZNF471	zinc finger protein 471
10023812017	0,000846	0,000425	3,5757807	-1,0799629	0,0404	1,02839891985665	SLC30A7	solute carrier family 30 (zinc transporter), member 7
10025906216	6,94E-05	3,06E-05	4,253262	1,4050422	0,0404	1,02839891985665	ZNF606	zinc finger protein 606
10025907908	3,58E-14	6,29E-15	8,3498945	23,1435007	0,0403	1,0283276391459	ZDHHC7	zinc finger, DHHC-type containing 7
10023837319	2,24E-06	8,36E-07	5,064745	4,8573212	0,0403	1,0283276391459	ZNF525	zinc finger protein 525
10023844270	3,26E-08	1,01E-08	5,9443509	9,132365	0,04	1,02811382665607	ZNF408	zinc finger protein 408
10025910786	0,000446	0,000217	3,75794	-0,4489983	0,0398	1,02797130969477	TRAFD1	TRAF-type zinc finger domain containing 1
10023818831	0,00021	9,76E-05	3,9656412	0,3041385	0,0398	1,02797130969477	ZBTB38	zinc finger and BTB domain containing 38
10025912003	1,92E-08	5,86E-09	6,0474318	9,6668089	0,0397	1,02790005862267	ZNF563	zinc finger protein 563
10025904204	0,0438	0,0289	2,1987215	-4,9090482	0,0396	1,02782881248915	ZNF580	zinc finger protein 580
10023820225	4,87E-05	2,11E-05	4,3425288	1,7601361	0,0389	1,0273302278059	RBAK	RB-associated KRAB zinc finger
10025912775	3,58E-08	1,12E-08	5,9257909	9,0368519	0,0389	1,0273302278059	ZNF133	zinc finger protein 133
10025903254	2,06E-05	8,56E-06	4,5526862	2,6206794	0,0384	1,0269742439713	ZNF579	zinc finger protein 579
10025919146	4,88E-05	2,11E-05	4,3417431	1,7569835	0,0382	1,02683188497876	ZNF654	zinc finger protein 654
10023810416	8,64E-09	2,55E-09	6,201733	10,4792104	0,0378	1,02654722619228	MZF1	myeloid zinc finger 1
10025903832	0,00607	0,00346	2,9536749	-3,0200392	0,0373	1,02619151367835	ZNF136	zinc finger protein 136
10031920486	0,00561	0,00318	2,9808636	-2,9423475	0,0372	1,02612038596803	ZSWIM4	zinc finger, SWIM-type containing 4
10025902909	0,000809	0,000406	3,5887302	-1,0360311	0,0371	1,02604926318774	ZBED1	zinc finger, BED-type containing 1
10031919748	0,00617	0,00352	2,9483866	-3,0350737	0,0371	1,02604926318774	ZNF69	zinc finger protein 69
10025911793	0,00613	0,0035	2,9503025	-3,0296297	0,0369	1,02590703241588	ZNF503	zinc finger protein 503
10025928909	0,000532	0,000261	3,7085131	-0,6229564	0,0366	1,02569372322474	ZNF576	zinc finger protein 576
10025903115	0,0012	0,000618	3,4714067	-1,4288517	0,0364	1,02555154173776	ZBTB47	zinc finger and BTB domain containing 47
10025903249	2,67E-07	9,05E-08	5,5204488	7,0067157	0,036	1,02526723788859	ZNF32	zinc finger protein 32
